id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
14977,6,CAM001,205,0.9143610596656799,13885,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:23.580840,263.0,86.0,371.0,391.0
14976,5,CAM001,204,0.8162041902542114,8560,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:26.198105,289.0,147.0,341.0,333.0
14975,5,CAM001,204,0.8,8550,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:24.434067,305.0,128.0,338.0,352.0
14974,5,CAM001,204,0.8545166850090027,8545,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:23.566247,305.0,130.0,338.0,350.0
14973,5,CAM001,204,0.8,8540,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:22.554686,311.0,147.0,324.0,333.0
14972,5,CAM001,204,0.8005916476249695,8535,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:21.488054,311.0,143.0,324.0,337.0
14971,5,CAM001,204,0.8373605012893677,8530,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:20.471668,311.0,136.0,329.0,344.0
14970,5,CAM001,204,0.8334025740623474,8525,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:19.476587,312.0,138.0,326.0,342.0
14969,5,CAM001,204,0.8,8520,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:18.601155,319.0,141.0,323.0,339.0
14968,5,CAM001,204,0.861298143863678,8515,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:17.671918,317.0,139.0,325.0,341.0
14967,5,CAM001,204,0.8475720882415771,8510,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:16.582671,312.0,140.0,326.0,340.0
14966,5,CAM001,204,0.836057186126709,8505,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:15.548970,310.0,135.0,330.0,345.0
14965,5,CAM001,203,0.8,8485,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:12.189431,268.0,123.0,378.0,357.0
14964,5,CAM001,203,0.8707183599472046,8475,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:10.255302,279.0,111.0,398.0,368.0
14963,5,CAM001,203,0.8972659111022949,8470,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:09.237963,283.0,153.0,392.0,327.0
14962,5,CAM001,203,0.8761110305786133,8465,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:20:08.209857,295.0,193.0,364.0,287.0
14961,5,CAM001,202,0.8,8385,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:19:53.309248,319.0,169.0,325.0,323.0
14960,5,CAM001,202,0.7392011284828186,8380,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:19:52.310324,321.0,170.0,307.0,305.0
14959,5,CAM001,196,0.8,8170,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:19:15.050363,171.0,170.0,445.0,308.0
